starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 24 12:21:58 2021	1635096118	0	16	17	6
Sun Oct 24 12:21:58 2021	1635096118	10	17	27	17
Sun Oct 24 12:21:58 2021	1635096118	10	19	29	19
Sun Oct 24 12:21:58 2021	1635096118	10	26	36	26
Sun Oct 24 12:21:58 2021	1635096118	10	29	39	29
Sun Oct 24 12:21:58 2021	1635096118	10	32	42	32
Sun Oct 24 12:21:58 2021	1635096118	10	38	48	38
Sun Oct 24 12:21:58 2021	1635096118	10	41	51	41
Sun Oct 24 12:21:58 2021	1635096118	10	43	53	43
Sun Oct 24 12:21:58 2021	1635096118	10	51	61	51
Sun Oct 24 12:21:58 2021	1635096118	10	53	63	53
Sun Oct 24 12:21:58 2021	1635096118	10	55	64	54
Sun Oct 24 12:21:58 2021	1635096118	10	63	73	63
Sun Oct 24 12:21:58 2021	1635096118	10	65	75	65
Sun Oct 24 12:21:58 2021	1635096118	10	68	78	67
Sun Oct 24 12:21:58 2021	1635096118	10	76	85	75
Sun Oct 24 12:21:58 2021	1635096118	10	80	90	80
Sun Oct 24 12:21:58 2021	1635096118	10	82	92	82
Sun Oct 24 12:21:58 2021	1635096118	10	91	101	91
Sun Oct 24 12:21:58 2021	1635096118	10	94	103	94
Sun Oct 24 12:21:58 2021	1635096118	10	96	106	95
Sun Oct 24 12:21:58 2021	1635096118	10	103	113	103
Sun Oct 24 12:21:58 2021	1635096118	10	106	116	106
Sun Oct 24 12:21:58 2021	1635096118	10	107	117	107
Sun Oct 24 12:21:58 2021	1635096118	10	116	125	115
Sun Oct 24 12:21:58 2021	1635096118	10	119	128	119
Sun Oct 24 12:21:58 2021	1635096118	10	120	130	120
Sun Oct 24 12:21:58 2021	1635096118	10	128	138	128
Sun Oct 24 12:21:58 2021	1635096118	10	131	141	131
Sun Oct 24 12:21:58 2021	1635096118	9	133	142	132
Sun Oct 24 12:21:58 2021	1635096118	9	140	150	140
Sun Oct 24 12:21:58 2021	1635096118	9	144	154	144
Sun Oct 24 12:21:58 2021	1635096118	9	147	156	147
Sun Oct 24 12:21:58 2021	1635096118	9	155	165	155
Sun Oct 24 12:21:58 2021	1635096118	9	157	166	157
Sun Oct 24 12:21:58 2021	1635096118	9	160	169	159
Sun Oct 24 12:21:58 2021	1635096118	9	169	178	169
Sun Oct 24 12:21:58 2021	1635096118	9	171	180	171
Sun Oct 24 12:21:58 2021	1635096118	9	172	182	172
Sun Oct 24 12:21:58 2021	1635096118	9	181	191	181
Sun Oct 24 12:21:58 2021	1635096118	9	183	192	183
Sun Oct 24 12:21:58 2021	1635096118	9	185	194	184
Sun Oct 24 12:21:58 2021	1635096118	9	193	203	193
Sun Oct 24 12:21:58 2021	1635096118	9	195	204	195
Sun Oct 24 12:21:58 2021	1635096118	9	197	206	196
